Categoría,Correo,Asunto,Message
ham,sofia34@trabajo.com,"Sorry, I'll call later","Sorry, I'll call later"
ham,profesor_x46@hotmail.com,U say leh... Of course...,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
spam,noresponder_7@notificacion-urgente.org,Mobile Stock Clearance! (ID: 33),"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
ham,profesor_x95@hotmail.com,Would really appreciate if you...,Would really appreciate if you call me. Just need someone to talk to.
spam,paypal_support_11@pago-pendient.biz,Exclusive Free Offer! (ID: 34),"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
ham,luis14@uni.edu,Hey company elama po mudyadhu.,Hey company elama po mudyadhu.
ham,jefe12@hotmail.com,Life is more strict than...,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
ham,jefe76@hotmail.com,Dear good morning now only...,Dear good morning now only i am up
ham,sofia66_1@uni.edu,Get down in gandhipuram and...,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
ham,sofia97@gmail.com,Dear we are going to...,Dear we are going to our rubber place
ham,jefe71@hotmail.com,"Sorry battery died, yeah I'm...","Sorry battery died, yeah I'm here"
ham,secretaria10@hotmail.com,Yes:)here tv is always available...,Yes:)here tv is always available in work place..
spam,servicio_seguridad_3@alerta-oficial.net,Dating Opportunity: Meet Someone Sexy (ID: 35),Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
ham,ana39@outlook.es,I have printed it oh....,I have printed it oh. So  &lt;#&gt;  come upstairs
ham,secretaria58@outlook.es,Or ill be a little...,Or ill be a little closer like at the bus stop on the same street
ham,secretaria11@uni.edu,Where are you?when wil you...,Where are you?when wil you reach here?
ham,jefe89@outlook.es,New Theory: Argument wins d...,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
spam,noresponder_8@notificacion-urgente.org,URGENT ALERT: Immediate Action Required (ID: 36),U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
ham,profesor_x89@hotmail.com,Tomarrow final hearing on my...,Tomarrow final hearing on my laptop case so i cant.
ham,ana71@uni.edu,PLEASSSSSSSEEEEEE TEL ME V AVENT...,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
ham,carlos96@gmail.com,"Okay. No no, just shining...","Okay. No no, just shining on. That was meant to be signing, but that sounds better."
ham,secretaria13@uni.edu,Although i told u dat...,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
ham,sofia86_1@uni.edu,U don't remember that old...,U don't remember that old commercial?
ham,jefe65@outlook.es,Too late. I said i...,Too late. I said i have the website. I didn't i have or dont have the slippers
ham,ana62@uni.edu,I asked you to call...,I asked you to call him now ok
ham,luis33@hotmail.com,Kallis wont bat in 2nd...,Kallis wont bat in 2nd innings.
ham,profesor_x46@gmail.com,It didnt work again oh....,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
spam,noresponder_9@notificacion-urgente.org,Exclusive Free Offer! (ID: 37),Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
ham,sofia25_1@gmail.com,Ranjith cal drpd Deeraj and...,Ranjith cal drpd Deeraj and deepak 5min hold
ham,jefe30@gmail.com,Wen ur lovable bcums angry...,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,secretaria78@gmail.com,What you doing?how are you?,What you doing?how are you?
ham,sofia19@outlook.es,"Ups which is 3days also,...","Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
ham,sofia26@outlook.es,"I'm back, lemme know when...","I'm back, lemme know when you're ready"
ham,luis89@uni.edu,Don't necessarily expect it to...,Don't necessarily expect it to be done before you get back though because I'm just now headin out
ham,ana67@hotmail.com,Mmm so yummy babe ......,Mmm so yummy babe ... Nice jolt to the suzy
ham,jefe85@uni.edu,Where are you lover ?...,Where are you lover ? I need you ...
spam,servicio_seguridad_4@alerta-oficial.net,URGENT ALERT: Immediate Action Required (ID: 38),We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
ham,carlos35@outlook.es,I‘m parked next to a...,I‘m parked next to a MINI!!!! When are you coming in today do you think?
ham,profesor_x13@trabajo.com,Yup,Yup
ham,profesor_x12_1@hotmail.com,Anyway i'm going shopping on...,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
ham,luis47@uni.edu,MY NO. IN LUTON 0125698789...,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
spam,noresponder_10@notificacion-urgente.org,Horny Chat Invitation (ID: 39),Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
ham,jefe91@uni.edu,Why you Dint come with...,Why you Dint come with us.
ham,jefe57@outlook.es,Same. Wana plan a trip...,Same. Wana plan a trip sometme then
ham,ana90@trabajo.com,"Not sure yet, still trying...","Not sure yet, still trying to get a hold of him"
spam,noresponder_11@notificacion-urgente.org,Exclusive Free Offer! (ID: 40),Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
ham,ana56@outlook.es,The evo. I just had...,The evo. I just had to download flash. Jealous?
spam,soporte_tecnico_5@actualizacion-sistema.com,Exclusive Free Offer! (ID: 41),Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
ham,profesor_x25@uni.edu,"Come to mu, we're sorting...","Come to mu, we're sorting out our narcotics situation"
ham,ana94@hotmail.com,Night has ended for another...,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
spam,paypal_support_12@pago-pendient.biz,Congratulations! You Have Won a Prize (ID: 42),HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
ham,jefe69@gmail.com,"Usf I guess, might as...","Usf I guess, might as well take 1 car"
ham,secretaria30@outlook.es,No objection. My bf not...,No objection. My bf not coming.
ham,carlos38@outlook.es,Thanx...,Thanx...
ham,carlos54@hotmail.com,Tell rob to mack his...,Tell rob to mack his gf in the theater
ham,ana30@hotmail.com,"Awesome, I'll see you in...","Awesome, I'll see you in a bit"
ham,profesor_x74@hotmail.com,Just sent it. So what...,Just sent it. So what type of food do you like?
ham,jefe46@trabajo.com,All done? All handed in?...,All done? All handed in? Celebrations in full swing yet?
ham,ana46@hotmail.com,You got called a tool?,You got called a tool?
ham,profesor_x54@trabajo.com,"Wen u miss someone, the...","Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve.."
ham,secretaria51@outlook.es,Ok. I asked for money...,Ok. I asked for money how far
ham,jefe30@outlook.es,Okie...,Okie...
ham,ana94@uni.edu,Yeah I think my usual...,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down"
ham,ana14@uni.edu,"K, I might come by...","K, I might come by tonight then if my class lets out early"
ham,secretaria29_2@gmail.com,Ok..,Ok..
ham,secretaria73@outlook.es,hi baby im cruisin with...,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
ham,sofia39@trabajo.com,My life Means a lot...,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
ham,profesor_x63@gmail.com,"Dear,shall mail tonite.busy in the...","Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
ham,sofia86@outlook.es,Hey you told your name...,Hey you told your name to gautham ah?
ham,profesor_x78@uni.edu,Haf u found him? I...,Haf u found him? I feel so stupid da v cam was working.
ham,secretaria62@trabajo.com,Oops. 4 got that bit.,Oops. 4 got that bit.
ham,jefe12@gmail.com,Are you this much buzy,Are you this much buzy
ham,jefe69@hotmail.com,I accidentally deleted the message....,I accidentally deleted the message. Resend please.
spam,paypal_support_13@pago-pendient.biz,Congratulations! You Have Won a Prize (ID: 43),T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
ham,jefe22@hotmail.com,Unless it's a situation where...,Unless it's a situation where YOU GO GURL would be more appropriate
ham,secretaria38@outlook.es,Hurt me... Tease me... Make...,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
ham,profesor_x36@gmail.com,I cant pick the phone...,I cant pick the phone right now. Pls send a message
ham,sofia86_2@uni.edu,Need a coffee run tomo?Can't...,Need a coffee run tomo?Can't believe it's that time of week already
ham,jefe69@outlook.es,"Awesome, I remember the last...","Awesome, I remember the last time we got somebody high for the first time with diesel :V"
ham,jefe51@gmail.com,Shit that is really shocking...,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
ham,jefe21@uni.edu,Oh and by the way...,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight?
ham,secretaria29@trabajo.com,He is a womdarfull actor,He is a womdarfull actor
spam,paypal_support_14@pago-pendient.biz,Blind Date Match Found (ID: 44),"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
ham,luis69@outlook.es,Yup... From what i remb......,Yup... From what i remb... I think should be can book...
ham,secretaria54@outlook.es,Jos ask if u wana...,Jos ask if u wana meet up?
ham,sofia61@hotmail.com,Lol yes. Our friendship is...,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.
spam,soporte_tecnico_6@actualizacion-sistema.com,"Mobile Content Update: Games, Tones, Gossip (ID: 45)","TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
ham,carlos52@uni.edu,Where are the garage keys?...,Where are the garage keys? They aren't on the bookshelf
ham,carlos51@outlook.es,Today is ACCEPT DAY..U Accept...,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
spam,noresponder_12@notificacion-urgente.org,Important Notification: Review Your Offer (ID: 46),"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
ham,ana88@trabajo.com,He says he'll give me...,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week
ham,profesor_x91@gmail.com,Hi the way I was...,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
ham,jefe31@gmail.com,You made my day. Do...,You made my day. Do have a great day too.
ham,profesor_x61@hotmail.com,K.k:)advance happy pongal.,K.k:)advance happy pongal.
ham,sofia58@gmail.com,Hmmm... Guess we can go...,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao..."
ham,sofia13@gmail.com,"Not really dude, have no...","Not really dude, have no friends i'm afraid :("
spam,servicio_seguridad_5@alerta-oficial.net,Exclusive Free Offer! (ID: 47),December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
ham,ana25_2@outlook.es,"Coffee cake, i guess...","Coffee cake, i guess..."
ham,secretaria40@hotmail.com,Merry Christmas to you too...,"Merry Christmas to you too babe, i love ya *kisses*"
